ta,tr,rh,vel_r,vel,clo_d,clo,activity_60,age,gender,thermal_sensation,pmv,thermal_comfort,ppd
fan,window,door,heater,t_out,rh_out,t_out_isd,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd
,,,,6.792,83.27,10.404166666666669,55.593620542178975,26,0.08,5.1,0.08,5.1,11.2
,,,,9.2835,77.02499999999999,10.45,53.84511458032304,21.3,-1.08,29.5,-0.98,25.2,10.9
,,,,11.561500000000002,81.71,13.2625,67.53188404916702,,-0.47,9.5,,,11.5
,,,,11.561500000000002,81.71,13.2625,67.53188404916702,27,0.46,9.5,0.47,9.6,11.5
,,,,11.6435,85.55,13.645833333333334,71.41586340612156,,-0.19,5.7,,,12
,,,,11.6435,85.55,13.645833333333334,71.41586340612156,26.9,0.3,6.8,0.3,6.8,12
,,,,11.6435,85.55,13.645833333333334,71.41586340612156,24.6,-0.17,5.6,-0.17,5.6,12
,,,,11.6435,85.55,13.645833333333334,71.41586340612156,,-0.61,12.7,,,12
,,,,11.6435,85.55,13.645833333333334,71.41586340612156,26.8,0.32,7.1,0.32,7.1,12
,,,,11.6435,85.55,13.645833333333334,71.41586340612156,28.3,0.71,15.7,0.75,16.9,12
,,,,11.6435,85.55,13.645833333333334,71.41586340612156,25.7,0.29,6.8,0.21,5.9,12
,,,,11.6435,85.55,13.645833333333334,71.41586340612156,25.9,0.09,5.2,0.09,5.2,12
,,,,11.6435,85.55,13.645833333333334,71.41586340612156,26.6,0.32,7.1,0.32,7.1,12
,,,,11.6435,85.55,13.645833333333334,71.41586340612156,24.7,-0.19,5.8,-0.14,5.4,12
,,,,14.171,76.61999999999999,15.029166666666669,68.58765245169454,25.5,0.25,6.3,0.25,6.3,12.5
